seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	Clusters
chr1	21031819	21031984	166	*	Intron (ENSMUST00000037998.5/170829, intron 2 of 10)	1	21004313	21043656	39344	2	170829	ENSMUST00000187210.1	11672	ENSMUSG00000041779	Tram2	translocating chain-associating membrane protein 2	NCoR1 CpG 6hr
chr1	34460109	34460274	166	*	Promoter	1	34459792	34471916	12125	1	19253	ENSMUST00000188884.2	317	ENSMUSG00000026126	Ptpn18	protein tyrosine phosphatase, non-receptor type 18	NCoR1 CpG 6hr
chr1	34467534	34467699	166	*	Intron (ENSMUST00000027302.13/19253, intron 5 of 14)	1	34463271	34466866	3596	1	19253	ENSMUST00000186252.1	4263	ENSMUSG00000026126	Ptpn18	protein tyrosine phosphatase, non-receptor type 18	NCoR1 CpG 6hr
chr1	35810676	35810841	166	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-257559	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	35813592	35813757	166	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-254643	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	35822524	35822689	166	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-245711	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	35860951	35861116	166	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-207284	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	36052665	36052830	166	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-15570	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	36071326	36071491	166	*	Intron (ENSMUST00000088174.3/50785, intron 1 of 1)	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	2926	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	36073211	36073376	166	*	Intron (ENSMUST00000088174.3/50785, intron 1 of 1)	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	4811	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	NCoR1 CpG 6hr
chr1	36296688	36296853	166	*	Distal Intergenic	1	36307733	36319203	11471	1	214855	ENSMUST00000126413.7	-10880	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	NCoR1 CpG 6hr
chr1	36308152	36308317	166	*	Promoter	1	36307779	36316578	8800	1	214855	ENSMUST00000140218.1	373	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	NCoR1 CpG 6hr
chr1	36325958	36326123	166	*	Distal Intergenic	1	36317027	36318132	1106	1	214855	ENSMUST00000141121.1	8931	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	NCoR1 CpG 6hr
chr1	36511397	36511562	166	*	Promoter	1	36511867	36528237	16371	1	94218	ENSMUST00000001166.13	-305	ENSMUSG00000001138	Cnnm3	cyclin M3	NCoR1 CpG 6hr
chr1	36566523	36566688	166	*	Intron (ENSMUST00000170295.7/381337, intron 12 of 14)	1	36548642	36558349	9708	2	20353	ENSMUST00000114991.7	-8174	ENSMUSG00000026121	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	NCoR1 CpG 6hr
chr1	40051243	40051408	166	*	Distal Intergenic	1	40074079	40112136	38058	1	16178	ENSMUST00000191671.5	-22671	ENSMUSG00000026073	Il1r2	interleukin 1 receptor, type II	NCoR1 CpG 6hr
chr1	40081135	40081300	166	*	Intron (ENSMUST00000191671.5/16178, intron 1 of 3)	1	40084698	40125231	40534	1	16178	ENSMUST00000027243.12	-3398	ENSMUSG00000026073	Il1r2	interleukin 1 receptor, type II	NCoR1 CpG 6hr
chr1	40087550	40087715	166	*	Intron (ENSMUST00000191671.5/16178, intron 1 of 3)	1	40085985	40102436	16452	1	16178	ENSMUST00000194913.1	1565	ENSMUSG00000026073	Il1r2	interleukin 1 receptor, type II	NCoR1 CpG 6hr
chr1	40240562	40240727	166	*	Exon (ENSMUST00000191850.1/ENSMUST00000191850.1, exon 1 of 1)	1	40225080	40317257	92178	1	16177	ENSMUST00000027241.10	15482	ENSMUSG00000026072	Il1r1	interleukin 1 receptor, type I	NCoR1 CpG 6hr
chr1	40705113	40705278	166	*	Intron (ENSMUST00000027231.12/226999, intron 1 of 11)	1	40681597	40727681	46085	1	226999	ENSMUST00000192345.1	23516	ENSMUSG00000026062	Slc9a2	solute carrier family 9 (sodium/hydrogen exchanger), member 2	NCoR1 CpG 6hr
chr1	43321544	43321709	166	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-122870	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 CpG 6hr
chr1	43327220	43327385	166	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-117194	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 CpG 6hr
chr1	43338698	43338863	166	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-105716	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 CpG 6hr
chr1	43375057	43375222	166	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-69357	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 CpG 6hr
